30:13.1,8.87,TCP  ,10008_98,51204,EXT_SERVER,22,17,2283,1,.AP.SF,0,suspicious,
30:39.7,10.593,TCP  ,10008_98,52120,EXT_SERVER,22,17,2283,1,.AP.SF,0,suspicious,
40:42.1,0,TCP  ,10136_37,20342,EXT_SERVER,5358,1,46,1,....S.,0,suspicious,
43:02.7,41.435,TCP  ,10004_35,62073,EXT_SERVER,22,6,329,1,.APRSF,0,suspicious,
50:34.9,0,TCP  ,10143_44,27120,EXT_SERVER,5358,1,46,1,....S.,0,suspicious,
51:04.9,0.001,TCP  ,10146_28,40209,EXT_SERVER,5358,1,46,1,....S.,0,suspicious,
52:45.9,0,TCP  ,10150_141,65202,EXT_SERVER,23,1,46,1,....S.,0,suspicious,
55:23.6,10.243,TCP  ,10008_109,55208,EXT_SERVER,22,15,2163,1,.AP.SF,0,suspicious,
01:33.0,14.508,TCP  ,10001_123,2207,EXT_SERVER,22,16,2917,1,.APRS.,0,suspicious,
04:26.3,3.363,TCP  ,10016_97,57200,EXT_SERVER,22,14,1678,1,  0xdb,0,suspicious,
07:23.3,96.451,TCP  ,10004_35,20505,EXT_SERVER,22,7,389,1,.APRSF,0,suspicious,
07:31.8,39.369,TCP  ,10016_97,62008,EXT_SERVER,22,16,1770,1,  0xdb,0,suspicious,
11:06.8,14.267,TCP  ,10001_123,3520,EXT_SERVER,22,14,2825,1,.APRS.,0,suspicious,
10:31.6,8.84,TCP  ,10006_27,20249,EXT_SERVER,22,15,2163,1,.AP.SF,0,suspicious,
13:25.2,93.488,TCP  ,10004_35,32044,EXT_SERVER,22,8,449,1,.APRSF,0,suspicious,
17:29.4,13.416,TCP  ,10001_123,2094,EXT_SERVER,22,13,2779,1,.APRS.,0,suspicious,
18:20.0,0,TCP  ,10029_216,20429,EXT_SERVER,23,1,46,1,....S.,0,suspicious,
18:05.0,10.017,TCP  ,10006_27,24720,EXT_SERVER,22,18,2319,1,.AP.SF,0,suspicious,
28:18.4,13.385,TCP  ,10001_123,4520,EXT_SERVER,22,14,2825,1,.APRS.,0,suspicious,
25:41.0,2.394,TCP  ,10038_52,62063,EXT_SERVER,22,11,1259,1,.AP.SF,0,suspicious,
25:47.3,2.549,TCP  ,10038_52,56209,EXT_SERVER,22,11,1259,1,.AP.SF,0,suspicious,
26:01.3,3.14,TCP  ,10038_52,65209,EXT_SERVER,22,11,1259,1,.AP.SF,0,suspicious,
29:14.5,11.573,TCP  ,10006_27,20210,EXT_SERVER,22,17,2273,1,.APRSF,0,suspicious,
27:16.7,0,UDP  ,10046_8,49204,EXT_SERVER,1900,1,122,1,......,0,suspicious,
30:18.3,0,TCP  ,10047_158,62086,EXT_SERVER,5358,1,46,1,....S.,0,suspicious,
39:13.0,6.975,TCP  ,10004_35,62220,EXT_SERVER,22,7,381,1,.APRS.,0,suspicious,
42:21.2,9.347,TCP  ,10006_27,62051,EXT_SERVER,22,15,2163,1,.AP.SF,0,suspicious,
46:43.8,5.459,TCP  ,10004_35,14320,EXT_SERVER,22,6,359,1,.APRSF,0,suspicious,
49:40.8,0,TCP  ,EXT_SERVER,9200,10073_107,58558,1,40,1,.A.R..,0,suspicious,
49:50.5,10.46,TCP  ,10006_27,20452,EXT_SERVER,22,15,2173,1,.APRSF,0,suspicious,
51:09.9,15.398,TCP  ,10001_123,2051,EXT_SERVER,22,14,2825,1,.APRS.,0,suspicious,
55:24.0,6.909,TCP  ,10004_35,34320,EXT_SERVER,22,5,280,1,.APRSF,0,suspicious,
55:24.1,9.302,TCP  ,10006_27,20166,EXT_SERVER,22,17,2267,1,.AP.SF,0,suspicious,
01:31.2,0,TCP  ,10087_19,52066,EXT_SERVER,5353,1,46,1,....S.,0,suspicious,
00:57.9,10.242,TCP  ,10012_224,40220,EXT_SERVER,22,19,2371,1,.AP.SF,0,suspicious,
05:09.8,0,TCP  ,10091_22,20429,EXT_SERVER,5358,1,46,1,....S.,0,suspicious,
20:10.7,13.521,TCP  ,10001_123,3204,EXT_SERVER,22,13,2779,1,.APRS.,0,suspicious,
30:49.7,30.998,TCP  ,10125_244,32205,EXT_SERVER,22,1,46,1,....S.,0,suspicious,
